date,datatype,station,attributes,value
2004-01-01T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.3007712082262211
2004-01-01T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.2712082262210797
2004-01-02T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.3007712082262211
2004-01-02T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.2930591259640103
2004-01-03T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.3791773778920309
2004-01-03T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.34318766066838047
2004-01-04T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.4215938303341903
2004-01-04T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.3496143958868895
2004-01-05T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.3290488431876607
2004-01-05T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.3007712082262211
2004-01-06T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.35989717223650386
2004-01-06T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.24293059125964012
2004-01-06T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.22107969151670953
2004-01-07T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.17352185089974295
2004-01-07T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.17223650385604114
2004-01-07T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.16452442159383035
2004-01-08T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.20694087403598974
2004-01-08T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.22879177377892032
2004-01-08T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.18637532133676094
2004-01-09T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.19280205655526994
2004-01-09T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.17223650385604114
2004-01-09T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.14267352185089976
2004-01-10T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.09768637532133678
2004-01-10T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.09254498714652959
2004-01-10T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.0784061696658098
2004-01-11T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.15938303341902316
2004-01-11T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.12853470437017994
2004-01-11T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.12853470437017994
2004-01-12T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.2956298200514139
2004-01-12T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.2789203084832905
2004-01-12T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.25064267352185093
2004-01-13T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.2789203084832905
2004-01-13T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.28534704370179953
2004-01-13T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.2570694087403599
2004-01-14T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.19023136246786634
2004-01-14T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.19280205655526994
2004-01-14T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.14267352185089976
2004-01-15T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.16323907455012854
2004-01-15T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.20051413881748073
2004-01-15T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.11439588688946016
2004-01-16T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.15167095115681234
2004-01-16T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.15038560411311055
2004-01-16T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.12210796915167095
2004-01-17T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.20437017994858614
2004-01-17T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.19280205655526994
2004-01-17T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.17866323907455015
2004-01-18T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.24678663239074553
2004-01-18T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.25064267352185093
2004-01-18T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.22107969151670953
2004-01-19T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.18766066838046275
2004-01-19T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.19280205655526994
2004-01-19T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.17866323907455015
2004-01-20T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.17994858611825193
2004-01-20T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.18637532133676094
2004-01-20T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.17223650385604114
2004-01-21T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.16709511568123395
2004-01-21T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.17223650385604114
2004-01-21T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.15681233933161953
2004-01-22T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.23778920308483292
2004-01-22T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.22879177377892032
2004-01-22T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.21465295629820053
2004-01-23T00:00:00,TAVG,GHCND:USR0000DPRI,",,U,",0.13367609254498714
2004-01-23T00:00:00,TAVG,GHCND:USW00013764,",,W,",0.14267352185089976
2004-01-23T00:00:00,TAVG,GHCND:USW00013781,",,W,",0.10796915167095116
