date,datatype,station,attributes,value
2004-01-01T00:00:00,TAVG,GHCND:USR0000VVIE,",,U,",0.492929292929293
2004-01-01T00:00:00,TAVG,GHCND:USW00003802,",,W,",0.4828282828282829
2004-01-01T00:00:00,TAVG,GHCND:USW00003804,",,W,",0.4828282828282829
2004-01-01T00:00:00,TAVG,GHCND:USW00003859,",,W,",0.5292929292929294
2004-01-01T00:00:00,TAVG,GHCND:USW00003860,",,W,",0.49494949494949503
2004-01-01T00:00:00,TAVG,GHCND:USW00003872,",,W,",0.4828282828282829
2004-01-01T00:00:00,TAVG,GHCND:USW00013729,",,W,",0.4505050505050505
2004-01-01T00:00:00,TAVG,GHCND:USW00013734,",,W,",0.5171717171717172
2004-01-01T00:00:00,TAVG,GHCND:USW00013736,",,W,",0.49494949494949503
2004-01-01T00:00:00,TAVG,GHCND:USW00013866,",,W,",0.4828282828282829
2004-01-01T00:00:00,TAVG,GHCND:USW00014894,",,W,",0.4727272727272728
2004-01-02T00:00:00,TAVG,GHCND:USR0000VVIE,",,U,",0.5898989898989899
2004-01-02T00:00:00,TAVG,GHCND:USW00003802,",,W,",0.6080808080808081
2004-01-02T00:00:00,TAVG,GHCND:USW00003804,",,W,",0.6181818181818182
2004-01-02T00:00:00,TAVG,GHCND:USW00003859,",,W,",0.5838383838383839
2004-01-02T00:00:00,TAVG,GHCND:USW00003860,",,W,",0.6303030303030304
2004-01-02T00:00:00,TAVG,GHCND:USW00003872,",,W,",0.5838383838383839
2004-01-02T00:00:00,TAVG,GHCND:USW00013729,",,W,",0.5838383838383839
2004-01-02T00:00:00,TAVG,GHCND:USW00013734,",,W,",0.5070707070707071
2004-01-02T00:00:00,TAVG,GHCND:USW00013736,",,W,",0.6080808080808081
2004-01-02T00:00:00,TAVG,GHCND:USW00013866,",,W,",0.6181818181818182
2004-01-02T00:00:00,TAVG,GHCND:USW00014894,",,W,",0.5737373737373738
2004-01-03T00:00:00,TAVG,GHCND:USR0000VVIE,",,U,",0.6848484848484849
2004-01-03T00:00:00,TAVG,GHCND:USW00003802,",,W,",0.7313131313131314
2004-01-03T00:00:00,TAVG,GHCND:USW00003804,",,W,",0.7535353535353536
2004-01-03T00:00:00,TAVG,GHCND:USW00003859,",,W,",0.6848484848484849
2004-01-03T00:00:00,TAVG,GHCND:USW00003860,",,W,",0.7757575757575759
2004-01-03T00:00:00,TAVG,GHCND:USW00003872,",,W,",0.696969696969697
2004-01-03T00:00:00,TAVG,GHCND:USW00013729,",,W,",0.7191919191919193
2004-01-03T00:00:00,TAVG,GHCND:USW00013734,",,W,",0.6404040404040404
2004-01-03T00:00:00,TAVG,GHCND:USW00013736,",,W,",0.7313131313131314
2004-01-03T00:00:00,TAVG,GHCND:USW00013866,",,W,",0.7636363636363637
2004-01-03T00:00:00,TAVG,GHCND:USW00014894,",,W,",0.6404040404040404
2004-01-04T00:00:00,TAVG,GHCND:USR0000VVIE,",,U,",0.7090909090909092
2004-01-04T00:00:00,TAVG,GHCND:USW00003802,",,W,",0.6404040404040404
