period,stateid,stateDescription,sectorid,sectorName,price,price-units
2018-12-01,IL,Illinois,ALL,all sectors,9.42,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,TRA,transportation,10.18,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,RES,residential,13.15,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,IND,industrial,8.61,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,COM,commercial,12.67,cents per kilowatt-hour
2018-12-01,MI,Michigan,TRA,transportation,10.36,cents per kilowatt-hour
2018-12-01,MI,Michigan,RES,residential,14.98,cents per kilowatt-hour
2018-12-01,MI,Michigan,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,MI,Michigan,IND,industrial,7.04,cents per kilowatt-hour
2018-12-01,MI,Michigan,COM,commercial,10.99,cents per kilowatt-hour
2018-12-01,MI,Michigan,ALL,all sectors,11.3,cents per kilowatt-hour
2018-12-01,MD,Maryland,TRA,transportation,7.61,cents per kilowatt-hour
2018-12-01,MD,Maryland,RES,residential,13.09,cents per kilowatt-hour
2018-12-01,MD,Maryland,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,MD,Maryland,IND,industrial,8.36,cents per kilowatt-hour
2018-12-01,MD,Maryland,COM,commercial,10.81,cents per kilowatt-hour
2018-12-01,MD,Maryland,ALL,all sectors,11.73,cents per kilowatt-hour
2018-12-01,VA,Virginia,IND,industrial,6.78,cents per kilowatt-hour
2018-12-01,VA,Virginia,COM,commercial,8.27,cents per kilowatt-hour
2018-12-01,VA,Virginia,ALL,all sectors,9.3,cents per kilowatt-hour
2018-12-01,TN,Tennessee,TRA,transportation,0.0,cents per kilowatt-hour
2018-12-01,TN,Tennessee,RES,residential,10.77,cents per kilowatt-hour
2018-12-01,TN,Tennessee,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,TN,Tennessee,IND,industrial,5.9,cents per kilowatt-hour
2018-12-01,TN,Tennessee,COM,commercial,10.74,cents per kilowatt-hour
2018-12-01,TN,Tennessee,ALL,all sectors,9.72,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,ALL,all sectors,12.6,cents per kilowatt-hour
2018-12-01,DE,Delaware,TRA,transportation,0.0,cents per kilowatt-hour
2018-12-01,DE,Delaware,RES,residential,12.18,cents per kilowatt-hour
2018-12-01,DE,Delaware,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,DE,Delaware,IND,industrial,8.11,cents per kilowatt-hour
2018-12-01,DE,Delaware,COM,commercial,9.97,cents per kilowatt-hour
2018-12-01,IL,Illinois,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,IL,Illinois,IND,industrial,6.87,cents per kilowatt-hour
2018-12-01,IL,Illinois,COM,commercial,8.77,cents per kilowatt-hour
2018-12-01,KY,Kentucky,TRA,transportation,0.0,cents per kilowatt-hour
2018-12-01,KY,Kentucky,RES,residential,10.51,cents per kilowatt-hour
2018-12-01,KY,Kentucky,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,KY,Kentucky,IND,industrial,5.73,cents per kilowatt-hour
2018-12-01,KY,Kentucky,COM,commercial,9.87,cents per kilowatt-hour
2018-12-01,KY,Kentucky,ALL,all sectors,8.54,cents per kilowatt-hour
2018-12-01,IN,Indiana,TRA,transportation,10.14,cents per kilowatt-hour
2018-12-01,IN,Indiana,RES,residential,11.99,cents per kilowatt-hour
2018-12-01,IN,Indiana,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,IN,Indiana,IND,industrial,8.22,cents per kilowatt-hour
2018-12-01,IN,Indiana,COM,commercial,10.39,cents per kilowatt-hour
2018-12-01,IN,Indiana,ALL,all sectors,10.04,cents per kilowatt-hour
2018-12-01,IL,Illinois,TRA,transportation,7.04,cents per kilowatt-hour
2018-12-01,IL,Illinois,RES,residential,12.53,cents per kilowatt-hour
2018-12-01,WV,West Virginia,COM,commercial,8.75,cents per kilowatt-hour
2018-12-01,WV,West Virginia,ALL,all sectors,8.34,cents per kilowatt-hour
2018-12-01,VA,Virginia,TRA,transportation,8.39,cents per kilowatt-hour
2018-12-01,VA,Virginia,RES,residential,10.97,cents per kilowatt-hour
2018-12-01,WV,West Virginia,TRA,transportation,0.0,cents per kilowatt-hour
2018-12-01,WV,West Virginia,RES,residential,10.42,cents per kilowatt-hour
2018-12-01,WV,West Virginia,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,WV,West Virginia,IND,industrial,6.02,cents per kilowatt-hour
2018-12-01,VA,Virginia,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,NC,North Carolina,TRA,transportation,7.95,cents per kilowatt-hour
2018-12-01,NC,North Carolina,RES,residential,10.63,cents per kilowatt-hour
2018-12-01,NC,North Carolina,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,NC,North Carolina,IND,industrial,6.19,cents per kilowatt-hour
2018-12-01,NC,North Carolina,COM,commercial,8.48,cents per kilowatt-hour
2018-12-01,NC,North Carolina,ALL,all sectors,9.09,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,TRA,transportation,8.84,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,RES,residential,15.39,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,IND,industrial,9.9,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,COM,commercial,12.0,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,ALL,all sectors,13.04,cents per kilowatt-hour
2018-12-01,DE,Delaware,ALL,all sectors,10.61,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,TRA,transportation,8.34,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,RES,residential,13.59,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,IND,industrial,6.78,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,COM,commercial,8.97,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,ALL,all sectors,10.1,cents per kilowatt-hour
2018-12-01,OH,Ohio,TRA,transportation,7.14,cents per kilowatt-hour
2018-12-01,OH,Ohio,RES,residential,12.21,cents per kilowatt-hour
2018-12-01,OH,Ohio,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-12-01,OH,Ohio,IND,industrial,6.93,cents per kilowatt-hour
2018-12-01,OH,Ohio,COM,commercial,9.86,cents per kilowatt-hour
2018-12-01,OH,Ohio,ALL,all sectors,9.79,cents per kilowatt-hour
2018-11-01,IL,Illinois,IND,industrial,6.91,cents per kilowatt-hour
2018-11-01,OH,Ohio,TRA,transportation,7.45,cents per kilowatt-hour
2018-11-01,OH,Ohio,RES,residential,12.57,cents per kilowatt-hour
2018-11-01,OH,Ohio,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-11-01,OH,Ohio,IND,industrial,6.97,cents per kilowatt-hour
2018-11-01,OH,Ohio,COM,commercial,10.21,cents per kilowatt-hour
2018-11-01,OH,Ohio,ALL,all sectors,9.9,cents per kilowatt-hour
2018-11-01,NC,North Carolina,TRA,transportation,8.17,cents per kilowatt-hour
2018-11-01,NC,North Carolina,RES,residential,11.13,cents per kilowatt-hour
2018-11-01,NC,North Carolina,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-11-01,NC,North Carolina,IND,industrial,5.86,cents per kilowatt-hour
2018-11-01,NC,North Carolina,COM,commercial,8.31,cents per kilowatt-hour
2018-11-01,NC,North Carolina,ALL,all sectors,8.94,cents per kilowatt-hour
2018-11-01,WV,West Virginia,TRA,transportation,0.0,cents per kilowatt-hour
2018-11-01,WV,West Virginia,RES,residential,11.13,cents per kilowatt-hour
2018-11-01,WV,West Virginia,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-11-01,WV,West Virginia,IND,industrial,6.31,cents per kilowatt-hour
2018-11-01,WV,West Virginia,COM,commercial,9.56,cents per kilowatt-hour
2018-11-01,WV,West Virginia,ALL,all sectors,8.66,cents per kilowatt-hour
2018-11-01,VA,Virginia,TRA,transportation,8.29,cents per kilowatt-hour
2018-11-01,VA,Virginia,RES,residential,11.6,cents per kilowatt-hour
2018-11-01,VA,Virginia,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-11-01,VA,Virginia,IND,industrial,6.89,cents per kilowatt-hour
2018-11-01,VA,Virginia,COM,commercial,8.32,cents per kilowatt-hour
2018-11-01,VA,Virginia,ALL,all sectors,9.34,cents per kilowatt-hour
2018-11-01,IL,Illinois,COM,commercial,9.24,cents per kilowatt-hour
2018-11-01,IL,Illinois,ALL,all sectors,9.78,cents per kilowatt-hour
2018-11-01,TN,Tennessee,TRA,transportation,0.0,cents per kilowatt-hour
2018-11-01,TN,Tennessee,RES,residential,11.13,cents per kilowatt-hour
2018-11-01,TN,Tennessee,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-11-01,TN,Tennessee,IND,industrial,5.75,cents per kilowatt-hour
2018-11-01,TN,Tennessee,COM,commercial,10.75,cents per kilowatt-hour
2018-11-01,TN,Tennessee,ALL,all sectors,9.7,cents per kilowatt-hour
2018-11-01,PA,Pennsylvania,TRA,transportation,7.7,cents per kilowatt-hour
2018-11-01,PA,Pennsylvania,RES,residential,13.96,cents per kilowatt-hour
2018-11-01,PA,Pennsylvania,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-11-01,PA,Pennsylvania,IND,industrial,6.75,cents per kilowatt-hour
2018-11-01,PA,Pennsylvania,COM,commercial,9.0,cents per kilowatt-hour
2018-11-01,PA,Pennsylvania,ALL,all sectors,10.04,cents per kilowatt-hour
2018-11-01,DC,District of Columbia,TRA,transportation,9.94,cents per kilowatt-hour
2018-11-01,DC,District of Columbia,OTH,other,9.268168946484282,cents per kilowatt-hour
2018-11-01,DC,District of Columbia,IND,industrial,7.88,cents per kilowatt-hour
2018-11-01,DC,District of Columbia,COM,commercial,12.51,cents per kilowatt-hour
2018-11-01,DC,District of Columbia,ALL,all sectors,12.66,cents per kilowatt-hour
2018-11-01,DE,Delaware,TRA,transportation,0.0,cents per kilowatt-hour
