period,stateid,stateDescription,sectorid,sectorName,price,price-units
2018-12-01,IL,Illinois,ALL,all sectors,0.5620525059665871,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,TRA,transportation,0.607398568019093,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,RES,residential,0.7846062052505967,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,IND,industrial,0.5137231503579951,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,COM,commercial,0.7559665871121718,cents per kilowatt-hour
2018-12-01,MI,Michigan,TRA,transportation,0.6181384248210023,cents per kilowatt-hour
2018-12-01,MI,Michigan,RES,residential,0.8937947494033412,cents per kilowatt-hour
2018-12-01,MI,Michigan,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,MI,Michigan,IND,industrial,0.4200477326968973,cents per kilowatt-hour
2018-12-01,MI,Michigan,COM,commercial,0.655727923627685,cents per kilowatt-hour
2018-12-01,MI,Michigan,ALL,all sectors,0.6742243436754176,cents per kilowatt-hour
2018-12-01,MD,Maryland,TRA,transportation,0.4540572792362768,cents per kilowatt-hour
2018-12-01,MD,Maryland,RES,residential,0.7810262529832934,cents per kilowatt-hour
2018-12-01,MD,Maryland,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,MD,Maryland,IND,industrial,0.49880668257756555,cents per kilowatt-hour
2018-12-01,MD,Maryland,COM,commercial,0.6449880668257756,cents per kilowatt-hour
2018-12-01,MD,Maryland,ALL,all sectors,0.6998806682577565,cents per kilowatt-hour
2018-12-01,VA,Virginia,IND,industrial,0.40453460620525056,cents per kilowatt-hour
2018-12-01,VA,Virginia,COM,commercial,0.4934367541766109,cents per kilowatt-hour
2018-12-01,VA,Virginia,ALL,all sectors,0.5548926014319809,cents per kilowatt-hour
2018-12-01,TN,Tennessee,TRA,transportation,0.0,cents per kilowatt-hour
2018-12-01,TN,Tennessee,RES,residential,0.6426014319809068,cents per kilowatt-hour
2018-12-01,TN,Tennessee,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,TN,Tennessee,IND,industrial,0.3520286396181384,cents per kilowatt-hour
2018-12-01,TN,Tennessee,COM,commercial,0.6408114558472553,cents per kilowatt-hour
2018-12-01,TN,Tennessee,ALL,all sectors,0.5799522673031026,cents per kilowatt-hour
2018-12-01,DC,District of Columbia,ALL,all sectors,0.7517899761336515,cents per kilowatt-hour
2018-12-01,DE,Delaware,TRA,transportation,0.0,cents per kilowatt-hour
2018-12-01,DE,Delaware,RES,residential,0.7267303102625298,cents per kilowatt-hour
2018-12-01,DE,Delaware,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,DE,Delaware,IND,industrial,0.48389021479713595,cents per kilowatt-hour
2018-12-01,DE,Delaware,COM,commercial,0.5948687350835322,cents per kilowatt-hour
2018-12-01,IL,Illinois,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,IL,Illinois,IND,industrial,0.40990453460620524,cents per kilowatt-hour
2018-12-01,IL,Illinois,COM,commercial,0.5232696897374701,cents per kilowatt-hour
2018-12-01,KY,Kentucky,TRA,transportation,0.0,cents per kilowatt-hour
2018-12-01,KY,Kentucky,RES,residential,0.6270883054892601,cents per kilowatt-hour
2018-12-01,KY,Kentucky,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,KY,Kentucky,IND,industrial,0.3418854415274463,cents per kilowatt-hour
2018-12-01,KY,Kentucky,COM,commercial,0.5889021479713603,cents per kilowatt-hour
2018-12-01,KY,Kentucky,ALL,all sectors,0.5095465393794748,cents per kilowatt-hour
2018-12-01,IN,Indiana,TRA,transportation,0.6050119331742243,cents per kilowatt-hour
2018-12-01,IN,Indiana,RES,residential,0.7153937947494032,cents per kilowatt-hour
2018-12-01,IN,Indiana,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,IN,Indiana,IND,industrial,0.49045346062052503,cents per kilowatt-hour
2018-12-01,IN,Indiana,COM,commercial,0.619928400954654,cents per kilowatt-hour
2018-12-01,IN,Indiana,ALL,all sectors,0.5990453460620524,cents per kilowatt-hour
2018-12-01,IL,Illinois,TRA,transportation,0.4200477326968973,cents per kilowatt-hour
2018-12-01,IL,Illinois,RES,residential,0.7476133651551311,cents per kilowatt-hour
2018-12-01,WV,West Virginia,COM,commercial,0.5220763723150358,cents per kilowatt-hour
2018-12-01,WV,West Virginia,ALL,all sectors,0.4976133651551312,cents per kilowatt-hour
2018-12-01,VA,Virginia,TRA,transportation,0.5005966587112172,cents per kilowatt-hour
2018-12-01,VA,Virginia,RES,residential,0.6545346062052506,cents per kilowatt-hour
2018-12-01,WV,West Virginia,TRA,transportation,0.0,cents per kilowatt-hour
2018-12-01,WV,West Virginia,RES,residential,0.6217183770883055,cents per kilowatt-hour
2018-12-01,WV,West Virginia,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,WV,West Virginia,IND,industrial,0.3591885441527446,cents per kilowatt-hour
2018-12-01,VA,Virginia,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,NC,North Carolina,TRA,transportation,0.47434367541766104,cents per kilowatt-hour
2018-12-01,NC,North Carolina,RES,residential,0.6342482100238663,cents per kilowatt-hour
2018-12-01,NC,North Carolina,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,NC,North Carolina,IND,industrial,0.36933174224343673,cents per kilowatt-hour
2018-12-01,NC,North Carolina,COM,commercial,0.5059665871121718,cents per kilowatt-hour
2018-12-01,NC,North Carolina,ALL,all sectors,0.54236276849642,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,TRA,transportation,0.5274463007159904,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,RES,residential,0.9182577565632458,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,IND,industrial,0.5906921241050119,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,COM,commercial,0.7159904534606205,cents per kilowatt-hour
2018-12-01,NJ,New Jersey,ALL,all sectors,0.7780429594272075,cents per kilowatt-hour
2018-12-01,DE,Delaware,ALL,all sectors,0.6330548926014319,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,TRA,transportation,0.4976133651551312,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,RES,residential,0.8108591885441526,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,IND,industrial,0.40453460620525056,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,COM,commercial,0.5352028639618138,cents per kilowatt-hour
2018-12-01,PA,Pennsylvania,ALL,all sectors,0.6026252983293555,cents per kilowatt-hour
2018-12-01,OH,Ohio,TRA,transportation,0.4260143198090692,cents per kilowatt-hour
2018-12-01,OH,Ohio,RES,residential,0.7285202863961814,cents per kilowatt-hour
2018-12-01,OH,Ohio,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-12-01,OH,Ohio,IND,industrial,0.4134844868735083,cents per kilowatt-hour
2018-12-01,OH,Ohio,COM,commercial,0.5883054892601431,cents per kilowatt-hour
2018-12-01,OH,Ohio,ALL,all sectors,0.5841288782816229,cents per kilowatt-hour
2018-11-01,IL,Illinois,IND,industrial,0.41229116945107397,cents per kilowatt-hour
2018-11-01,OH,Ohio,TRA,transportation,0.4445107398568019,cents per kilowatt-hour
2018-11-01,OH,Ohio,RES,residential,0.75,cents per kilowatt-hour
2018-11-01,OH,Ohio,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-11-01,OH,Ohio,IND,industrial,0.41587112171837703,cents per kilowatt-hour
2018-11-01,OH,Ohio,COM,commercial,0.6091885441527446,cents per kilowatt-hour
2018-11-01,OH,Ohio,ALL,all sectors,0.5906921241050119,cents per kilowatt-hour
2018-11-01,NC,North Carolina,TRA,transportation,0.4874701670644391,cents per kilowatt-hour
2018-11-01,NC,North Carolina,RES,residential,0.6640811455847255,cents per kilowatt-hour
2018-11-01,NC,North Carolina,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-11-01,NC,North Carolina,IND,industrial,0.3496420047732697,cents per kilowatt-hour
2018-11-01,NC,North Carolina,COM,commercial,0.4958233890214797,cents per kilowatt-hour
2018-11-01,NC,North Carolina,ALL,all sectors,0.5334128878281622,cents per kilowatt-hour
2018-11-01,WV,West Virginia,TRA,transportation,0.0,cents per kilowatt-hour
2018-11-01,WV,West Virginia,RES,residential,0.6640811455847255,cents per kilowatt-hour
2018-11-01,WV,West Virginia,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-11-01,WV,West Virginia,IND,industrial,0.3764916467780429,cents per kilowatt-hour
2018-11-01,WV,West Virginia,COM,commercial,0.5704057279236276,cents per kilowatt-hour
2018-11-01,WV,West Virginia,ALL,all sectors,0.5167064439140812,cents per kilowatt-hour
2018-11-01,VA,Virginia,TRA,transportation,0.49463007159904526,cents per kilowatt-hour
2018-11-01,VA,Virginia,RES,residential,0.6921241050119331,cents per kilowatt-hour
2018-11-01,VA,Virginia,OTH,other,0.5529933738952436,cents per kilowatt-hour
2018-11-01,VA,Virginia,IND,industrial,0.4110978520286396,cents per kilowatt-hour
2018-11-01,VA,Virginia,COM,commercial,0.4964200477326969,cents per kilowatt-hour
2018-11-01,VA,Virginia,ALL,all sectors,0.5572792362768496,cents per kilowatt-hour
2018-11-01,IL,Illinois,COM,commercial,0.5513126491646778,cents per kilowatt-hour
2018-11-01,IL,Illinois,ALL,all sectors,0.5835322195704057,cents per kilowatt-hour
2018-11-01,TN,Tennessee,TRA,transportation,0.0,cents per kilowatt-hour
2018-11-01,TN,Tennessee,RES,residential,0.6640811455847255,cents per kilowatt-hour
